[2020-02-04T08:53:49.155] [INFO] http - [::1 GET /img/pay.png 404 1ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:53:49.157] [INFO] http - [::1 GET /js/jquery.min.js?v=2.1.4 404 2ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:53:49.159] [INFO] http - [::1 GET /js/bootstrap.min.js?v=3.3.6 404 1ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:53:49.162] [INFO] http - [::1 GET /js/plugins/layer/layer.min.js 404 2ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:53:49.169] [INFO] http - [::1 GET /js/content.js 404 1ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:53:49.172] [INFO] http - [::1 GET /js/welcome.js 404 1ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:56:17.622] [INFO] http - [::1 GET /index_v2.html 404 3ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:56:33.802] [INFO] http - [::1 GET /index_v3.html 404 2ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:56:55.168] [INFO] http - [::1 GET / 200 7ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:56:55.218] [INFO] http - [::1 GET /img/a7.jpg 404 2ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:56:55.225] [INFO] http - [::1 GET /img/a4.jpg 404 1ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:56:55.249] [INFO] http - [::1 GET /login 304 19ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:56:55.443] [INFO] http - [::1 GET /css/bootstrap.min.css?v=3.3.6 404 2ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:56:55.448] [INFO] http - [::1 GET /css/font-awesome.css?v=4.4.0 404 2ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:56:55.452] [INFO] http - [::1 GET /css/animate.css 404 1ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:56:55.455] [INFO] http - [::1 GET /css/style.css?v=4.1.0 404 1ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:56:55.459] [INFO] http - [::1 GET /img/qr_code.png 404 4ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:56:55.459] [INFO] http - [::1 GET /img/pay.png 404 4ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:56:55.468] [INFO] http - [::1 GET /js/jquery.min.js?v=2.1.4 404 7ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:56:55.471] [INFO] http - [::1 GET /js/bootstrap.min.js?v=3.3.6 404 1ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:56:55.472] [INFO] http - [::1 GET /js/plugins/layer/layer.min.js 404 1ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
